ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D0601A,RF-R-MMR-SIMPLERED,0.29934,0.29681,0.29807,4
ROUGE-1,D0601A,LINEAR-R-MMR-UNICOSRED,0.34261,0.34237,0.34249,4
ROUGE-1,D0601A,LINEAR-R-REL,0.32531,0.32400,0.32465,4
ROUGE-1,D0630C,DECISIONT-MMR-SIMPLERED,0.32788,0.32812,0.32800,4
ROUGE-1,D0630C,RF-R-MMR-SIMPLERED,0.30031,0.30924,0.30471,4
ROUGE-1,D0630C,RF-R-MMR-UNICOSRED,0.33163,0.34137,0.33643,4
ROUGE-1,D0630C,LINEAR-R-MMR-SIMPLERED,0.33949,0.33984,0.33967,4
ROUGE-1,D0630C,RF-R-REL,0.32075,0.32255,0.32164,4
ROUGE-1,D0630C,DECISIONT-REL,0.29753,0.29327,0.29538,4
ROUGE-1,D0630C,LINEAR-R-MMR-UNICOSRED,0.35877,0.35798,0.35837,4
ROUGE-1,D0630C,LINEAR-R-REL,0.35595,0.35232,0.35412,4
ROUGE-1,D0630C,DECISIONT-MMR-UNICOSRED,0.32455,0.32776,0.32614,4
ROUGE-1,D0637A,RF-R-MMR-SIMPLERED,0.35670,0.35714,0.35692,4
ROUGE-1,D0637A,DECISIONT-MMR-SIMPLERED,0.34951,0.34881,0.34916,4
ROUGE-1,D0637A,RF-R-REL,0.34989,0.35300,0.35144,4
ROUGE-1,D0637A,LINEAR-R-REL,0.35984,0.35870,0.35927,4
ROUGE-1,D0637A,LINEAR-R-MMR-SIMPLERED,0.35680,0.35294,0.35486,4
ROUGE-1,D0637A,LINEAR-R-MMR-UNICOSRED,0.36250,0.36166,0.36208,4
ROUGE-1,D0637A,DECISIONT-MMR-UNICOSRED,0.30494,0.29845,0.30166,4
ROUGE-1,D0637A,DECISIONT-REL,0.38022,0.37066,0.37538,4
ROUGE-1,D0637A,RF-R-MMR-UNICOSRED,0.35948,0.35870,0.35909,4
ROUGE-1,D346H,LINEAR-R-MMR-UNICOSRED,0.28830,0.28685,0.28758,4
